smiles,name,id,atc,atc_name_1,atc_name_2,atc_name_3,atc_name_4,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,PAINS_alert,BRENK_alert,NIH_alert,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo
CC(C)[C@H]1CC[C@H](C)C[C@@H]1O,(+)-menthol,DB11344,,,,,,156.269,2.439500000000001,1,1,4.0,0.6179494584335714,3,20.23,0,0,0,0.08982882,0.97858703,0.90067655,0.21488822,0.24220662,0.18699467,0.04071507,0.40584955,0.037690885,0.5414311,0.013466498,0.06240929,0.027799446,0.14042221,0.999992,0.0013115689,0.0077045164,0.0071876557,0.013138796,0.009443643,0.052324496,0.0040683527,0.9887225,0.050350763,0.034133323,0.001008618,0.014911914,0.05660516,0.0022948312,0.6565455,0.23366475,-4.1587973,115.16528,57.156487,20.489689,-3.437425,1.4801623,2.3155065,61.42459,-2.6126466,4.357529
C[C@H](O)CCO,"(S)-butane-1,3-diol",DB02202,,,,,,90.122,-0.25039999999999996,2,2,4.0,0.4905429154176824,1,40.46,0,0,0,0.07179538,0.9219263,0.9088771,0.0089845825,0.0049850154,0.1350254,0.0013850315,0.1734195,0.003357137,0.13608895,0.00012027335,0.28954703,0.018461889,0.08113314,0.9964194,0.0032173705,0.0066119456,0.001731443,0.0010238204,0.0025237775,0.023025723,0.0024358921,0.7977946,0.00077007303,0.018938538,0.0005907531,0.004480337,0.0015293753,0.0017025393,0.599104,0.016067432,-4.349719,45.34309,-32.25289,14.55821,-8.517377,1.1489913,-0.85426486,6.4981184,0.95711863,3.5449882
CC1(C)[C@H]2CC[C@]1(C)C(=O)C2,(S)-camphor,DB11345,,,,,,152.237,2.401700000000001,1,0,4.0,0.520631018455888,2,17.07,0,0,0,0.20152791,0.99216497,0.88169336,0.09655037,0.11881481,0.15880549,0.015995588,0.30779305,0.011098988,0.5532564,0.009773544,0.062075634,0.0370342,0.1349568,0.9999918,0.0035585072,0.01356521,0.003326441,0.004831559,0.0045013158,0.034106348,0.0025368615,0.9902455,0.013631163,0.021472108,0.0016640627,0.011375542,0.005784129,0.0020943866,0.71517134,0.11438061,-4.0047655,117.59627,63.210686,11.378702,-2.5628705,1.4968994,1.9231586,54.54013,-2.4690025,0.6042491
C1=Cc2ccccc2NN=C1,"1,2-Benzodiazepine",DB12537,,,,,,144.17699999999996,2.1110999999999995,2,1,4.0,0.5921334832741902,0,24.39,0,0,0,0.86780465,0.92634505,0.8652992,0.99212325,0.6492184,0.08599569,0.09755596,0.18478894,0.46518525,0.3614335,0.3952436,0.13612941,0.09183091,0.587941,0.9999712,0.02444894,0.031329397,0.871768,0.16142583,0.08952511,0.25363407,0.015925447,0.95721304,0.04599377,0.52607566,0.16640067,0.21215883,0.46234494,0.1562523,0.89832926,0.47203335,-4.351561,39.574562,0.9640347,6.9553933,-9.077503,2.8139966,1.3852484,54.09652,-2.0369315,0.4498237
CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCCCC,"1,2-Distearoyllecithin",DB14099,,,,,,790.1609999999991,12.172199999999988,8,0,2.0,0.02600539440347768,2,111.19,0,3,2,0.03288906,0.97007257,0.2156142,0.004723805,0.0057866974,0.02901591,0.0090956,0.48198453,0.08129133,0.80476683,0.4701956,0.03365539,0.016448416,0.17922609,0.9999701,0.0006163559,0.0010932882,0.0018580217,0.024578411,0.009414753,0.045102578,0.011843748,0.9015463,0.9789688,0.45677295,0.00014740243,0.16372797,0.081606366,0.02432805,0.9337096,0.9784133,-5.1611137,122.5333,141.89001,109.9667,-11.212488,2.2640076,4.2245784,107.21309,-4.9938846,19.9961
CCC=CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)OC[C@H](COP(=O)(O)OC[C@H](N)C(=O)O)OC(=O)CC/C=C\C/C=C\C/C=C\CC=CC/C=C\C/C=C\CC,"1,2-Docosahexanoyl-sn-glycero-3-phosphoserine",DB11318,,,,,,880.1129999999999,11.942699999999986,9,3,2.0,0.030608582016823028,3,171.67999999999998,0,2,1,0.74744296,0.432417,0.16173457,0.02703916,0.35722238,0.030674826,0.12061857,0.06800373,0.5366426,0.8504756,0.94135207,0.31938505,0.11524288,0.09431322,0.73553735,0.29348785,0.044687096,0.0046634814,0.14198962,0.21475406,0.11765276,0.28923646,0.6755274,0.44480032,0.82513905,0.39467147,0.38027728,0.32534432,0.42871374,0.57879627,0.9069184,-5.743397,96.879616,159.25162,14.827475,-18.565845,2.9543433,4.6056213,115.48936,-5.1702247,0.28626776
Clc1ccccc1Cl,"1,2-dichlorobenzene",DB13963,,,,,,147.00399999999996,2.9934000000000003,0,0,4.0,0.5285863388321961,0,0.0,0,0,0,0.0729846,0.99342614,0.887643,0.99255085,0.8728852,0.15141268,0.17625853,0.19122247,0.1298155,0.35434252,0.020327125,0.080430545,0.0071007586,0.3393411,0.9999999,0.0008447783,0.009811914,0.041252576,0.01481588,0.008850307,0.11507356,0.0032440207,0.9929506,0.016193902,0.03522241,0.0026255369,0.018420221,0.061641745,0.0042170165,0.77964425,0.15642004,-3.9925237,125.83818,67.982414,54.077625,-1.4429438,1.936971,3.0112872,73.2249,-3.0767903,10.076017
CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC(=O)OC(COC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)(O)OCC(N)C(=O)O,"1,2-icosapentoyl-sn-glycero-3-phosphoserine",DB14096,,,,,,842.0640000000003,11.220399999999994,9,3,2.0,0.023517083050697555,3,171.68,0,3,1,0.7157048,0.49813694,0.18944442,0.021842042,0.40405577,0.045220423,0.18200293,0.08214023,0.49898726,0.86579114,0.9750503,0.356707,0.14223965,0.13819101,0.8243869,0.24305637,0.03573184,0.008619951,0.15336525,0.16103908,0.09445493,0.24717543,0.7428285,0.5430243,0.7926901,0.35426116,0.3739187,0.27146766,0.37695348,0.56114995,0.9254921,-5.7331557,82.76929,137.64488,7.191336,-18.6945,3.0570083,4.161117,112.902504,-4.868319,0.29640523
CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OCC(O)CO,1-Palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol)),DB11331;DB14095,,,,,,749.0200000000004,10.446999999999992,9,3,2.0,0.02399068792422518,3,148.82,0,3,2,0.027997643,0.9595432,0.29452878,0.013146296,0.048199683,0.09825994,0.07767329,0.18625367,0.09304924,0.82926834,0.75433826,0.04069917,0.045737028,0.27290148,0.9999927,0.0034554228,0.009353375,0.003054198,0.020812433,0.01425566,0.045294795,0.06483171,0.8796438,0.97525054,0.37608188,0.0015260752,0.22646137,0.043407798,0.029016215,0.7806342,0.8686999,-5.29292,145.09964,149.58875,68.87926,-12.262555,1.9980943,4.66487,113.39177,-5.459113,12.049037
c1ccc2sc(SSc3nc4ccccc4s3)nc2c1,"2,2'-Dibenzothiazyl disulfide",DB14201,,,,,,332.50000000000006,5.705400000000002,6,0,3.0,0.4490644198756372,0,25.78,0,1,1,0.43377328,0.6957317,0.32331973,0.9969355,0.95213354,0.055725016,0.8817892,0.018626252,0.15453596,0.50445944,0.37963063,0.11000828,0.0022264244,0.93261135,0.9999989,0.06376709,0.008726859,0.6126472,0.16546908,0.16874519,0.23793693,0.27843857,0.973616,0.14921817,0.9177494,0.23340626,0.7970323,0.8367456,0.45297438,0.9730009,0.12658013,-4.786504,116.559494,87.200386,79.63478,-5.7749896,2.2047231,3.5565853,97.33032,-4.780635,6.795114
